client_id,app_date,education,sex,age,car,car_type,decline_app_cnt,good_work,score_bki,bki_request_cnt,region_rating,home_address,work_address,income,sna,first_time,foreign_passport,default
59924,09MAR2014,SCH,F,43,N,N,0,0,-2.40152904,1,50,1,1,25000,2,3,N,0
15681,23JAN2014,UGR,M,37,Y,Y,0,0,-1.74067587,3,80,2,3,100000,1,3,N,0
92176,08APR2014,GRD,F,26,N,N,0,0,-2.56406477,0,50,2,3,15000,2,3,N,0
60374,09MAR2014,SCH,F,56,N,N,0,0,-2.40472496,1,40,1,2,10000,1,4,N,0
98030,15APR2014,GRD,F,28,N,N,0,1,-1.53330598,4,20,2,3,15000,1,2,N,0
53675,02MAR2014,GRD,M,62,N,N,0,0,-2.82274222,0,40,2,3,14800,4,1,N,1
24303,31JAN2014,UGR,M,26,N,N,2,0,-1.1097794,1,80,2,3,70000,1,4,Y,0
65933,14MAR2014,GRD,F,40,Y,Y,0,0,-1.58614789,5,50,1,2,45000,2,1,N,0
18655,26JAN2014,GRD,F,34,Y,Y,0,0,-2.67076462,3,50,1,1,60000,1,3,N,0
76606,24MAR2014,SCH,M,33,Y,Y,0,0,-1.1932928999999999,0,40,1,2,60000,1,2,N,0
86580,03APR2014,GRD,F,62,N,N,0,1,-1.82877186,2,70,2,3,80000,1,3,Y,0
74699,22MAR2014,GRD,F,26,N,N,1,0,-1.24088904,0,80,1,3,26000,1,3,N,0
4851,11JAN2014,SCH,M,59,N,N,0,1,-1.595784,1,80,2,3,80000,1,4,Y,0
40394,17FEB2014,SCH,M,56,Y,N,0,0,-1.31805159,1,50,1,2,65000,1,2,N,0
36938,13FEB2014,SCH,F,67,N,N,0,0,-1.83832697,0,50,2,3,11000,4,1,N,0
99890,17APR2014,GRD,M,40,Y,Y,1,0,-1.93410235,0,60,2,3,30000,1,4,N,0
82240,30MAR2014,GRD,M,34,N,N,0,1,-1.44683966,1,70,1,2,50000,1,2,N,0
48805,25FEB2014,SCH,F,38,N,N,0,0,-1.91430142,5,60,2,3,75000,1,4,N,1
71218,19MAR2014,SCH,F,46,N,N,0,0,-1.83260203,1,80,2,3,40000,1,3,N,0
94540,10APR2014,GRD,F,46,N,N,0,0,-1.5570596,4,80,2,3,35000,1,4,N,0
84681,01APR2014,SCH,M,28,N,N,1,0,-1.87663637,3,80,2,3,45000,3,2,Y,0
103453,21APR2014,SCH,M,42,N,N,0,0,-2.2260183,4,50,2,3,19000,4,1,N,0
69012,17MAR2014,SCH,F,35,N,N,0,0,-1.54908279,3,40,2,3,15000,4,1,N,1
72785,20MAR2014,GRD,F,38,N,N,0,0,-2.33808111,2,60,2,3,55000,1,4,N,0
53810,03MAR2014,UGR,M,24,Y,Y,0,0,-1.97615974,1,60,2,3,40000,2,1,N,0
15500,22JAN2014,SCH,M,61,Y,Y,0,0,-1.51663298,0,60,1,2,70000,1,4,Y,0
77041,25MAR2014,SCH,F,39,N,N,0,0,-2.76864339,1,60,2,3,30000,1,4,N,0
24780,31JAN2014,GRD,F,36,Y,Y,0,0,-1.80189598,8,60,1,1,200000,1,3,Y,0
47297,24FEB2014,SCH,M,29,Y,Y,0,0,-1.45196651,4,50,2,3,23000,1,3,N,1
46921,24FEB2014,SCH,M,27,N,N,2,1,-0.50010291,4,50,1,1,25000,1,3,N,0
99439,16APR2014,SCH,M,29,N,N,0,0,-1.83099454,2,60,2,3,80000,1,4,N,0
27149,03FEB2014,SCH,M,37,N,N,0,0,-2.15876944,1,40,2,3,9000,1,3,N,1
50586,27FEB2014,SCH,F,26,N,N,0,0,-2.08204559,0,50,2,3,11000,4,1,N,0
69715,18MAR2014,GRD,F,29,N,N,0,0,-2.05028492,0,30,2,3,27000,4,1,N,0
28006,04FEB2014,SCH,F,21,N,N,0,0,-1.54226004,0,80,2,3,30000,3,2,N,0
50997,27FEB2014,GRD,M,26,N,N,0,0,-1.81117607,0,70,2,3,40000,4,1,N,0
43341,19FEB2014,GRD,F,37,N,N,0,1,-1.93378197,7,50,1,2,28000,1,3,Y,0
43812,20FEB2014,SCH,M,33,N,N,0,0,-1.55518773,2,80,2,3,30000,2,1,N,0
83707,31MAR2014,GRD,M,32,N,N,0,1,-1.60977299,0,50,2,3,50000,1,2,N,0
55318,04MAR2014,SCH,F,52,N,N,0,0,-1.474372,2,40,3,3,15100,1,3,N,0
18358,25JAN2014,GRD,F,30,Y,Y,0,0,-2.00057844,3,60,2,1,130000,1,3,N,0
2242,07JAN2014,SCH,F,40,N,N,0,1,-1.95511221,3,80,2,3,35000,1,1,Y,0
58728,07MAR2014,SCH,M,24,N,N,1,0,-1.35583569,4,50,1,2,35000,1,3,N,0
99015,16APR2014,GRD,F,45,N,N,0,1,-2.77158529,0,60,2,3,20000,1,3,Y,0
78655,26MAR2014,GRD,F,41,N,N,0,0,-2.94603324,0,70,2,3,21000,1,3,N,0
53637,02MAR2014,SCH,F,27,N,N,0,1,-1.77409236,0,40,2,3,350000,1,3,N,0
65399,14MAR2014,UGR,F,23,Y,Y,0,0,-1.55602075,1,70,1,3,22000,1,3,Y,0
29888,05FEB2014,SCH,F,38,Y,N,0,0,-2.18229006,1,50,2,3,40000,4,1,N,1
37164,13FEB2014,GRD,F,30,N,N,0,0,-1.2608303,6,80,2,3,40000,2,2,N,0
57757,06MAR2014,GRD,M,40,Y,N,0,1,-2.14395028,0,50,1,1,100000,3,3,N,0
42283,18FEB2014,SCH,F,55,N,N,0,0,-0.98657291,7,40,2,3,43000,4,1,N,0
32621,08FEB2014,SCH,F,36,N,N,0,0,-1.23239494,2,60,2,3,16000,1,3,N,0
14189,21JAN2014,UGR,M,29,Y,N,1,0,-1.21177075,2,50,2,3,30000,2,1,N,0
60403,09MAR2014,GRD,M,32,N,N,0,0,-0.26613705,4,50,2,3,33000,1,3,N,0
41866,18FEB2014,SCH,M,21,N,N,1,0,-1.66051234,1,60,2,3,30000,1,2,N,0
64694,13MAR2014,SCH,F,59,N,N,1,0,-2.03512908,6,50,2,3,30000,1,4,N,1
32465,08FEB2014,GRD,M,43,Y,Y,0,0,-2.31803899,3,50,1,3,80000,1,4,Y,0
3569,09JAN2014,SCH,M,43,N,N,0,0,-2.21884366,1,80,2,3,50000,1,4,Y,0
31470,07FEB2014,SCH,F,29,N,N,3,0,-2.1526398999999996,6,60,2,3,25000,2,1,N,0
91570,08APR2014,SCH,F,49,Y,Y,1,1,-1.54100734,0,50,2,3,100000,1,3,N,0
23745,30JAN2014,UGR,F,32,N,N,0,0,-1.73904295,3,80,2,3,30000,3,3,N,0
22562,29JAN2014,GRD,M,57,Y,Y,0,0,-2.86040097,0,60,1,1,30000,1,3,N,0
69823,18MAR2014,GRD,M,49,Y,Y,0,0,-1.50114872,0,60,3,3,80000,1,2,Y,0
42799,19FEB2014,SCH,F,21,N,N,0,1,-2.16966378,2,60,2,3,15000,4,1,N,0
20219,27JAN2014,GRD,M,28,Y,Y,0,1,-1.73450197,0,30,1,2,18000,1,3,N,0
39146,15FEB2014,SCH,M,50,Y,Y,0,0,-2.29456759,0,60,1,2,25000,1,1,N,0
47779,24FEB2014,SCH,F,38,N,N,0,0,-1.62058742,2,50,1,2,10000,3,2,N,0
109062,29APR2014,GRD,F,31,N,N,0,0,-1.99243878,1,50,2,3,5000,1,4,N,0
88159,04APR2014,UGR,F,23,N,N,0,1,-1.69825587,0,40,2,3,35000,1,4,Y,0
92148,08APR2014,UGR,F,38,Y,N,0,0,-2.45566757,0,40,2,3,23000,1,4,N,0
9357,16JAN2014,GRD,M,64,Y,Y,0,0,-2.13797446,2,40,1,1,20000,1,4,Y,0
90883,07APR2014,SCH,F,26,N,N,0,0,-1.47715645,3,60,2,3,8000,4,1,N,0
6197,13JAN2014,UGR,M,24,N,N,0,0,-1.77526279,1,60,2,3,35000,2,4,N,0
73541,21MAR2014,GRD,M,30,Y,Y,0,1,-1.16647857,3,80,2,3,64000,1,3,Y,0
17722,24JAN2014,SCH,M,32,N,N,0,0,-1.60769045,0,50,2,3,5000,4,3,N,0
3496,09JAN2014,GRD,F,30,Y,Y,0,0,-2.54175125,1,50,1,2,6000,4,1,N,0
94693,10APR2014,SCH,F,21,N,N,4,0,-1.97610002,0,80,2,3,40000,4,3,N,0
48637,25FEB2014,GRD,M,28,N,N,0,0,-1.22798222,2,70,2,3,95000,1,4,N,0
79637,27MAR2014,GRD,M,31,Y,Y,0,0,-1.58452473,0,50,2,3,40000,1,3,N,0
62495,11MAR2014,SCH,F,41,N,N,0,0,-1.42571493,7,40,1,2,25000,1,4,Y,0
63971,13MAR2014,SCH,M,39,Y,Y,0,0,-2.3635072999999998,13,80,2,3,65000,1,4,Y,0
96848,14APR2014,SCH,F,46,Y,Y,0,0,-2.68199986,0,40,2,3,20000,2,3,N,0
68881,17MAR2014,GRD,M,62,N,N,0,0,-2.74569611,0,60,2,3,24000,1,3,N,0
75425,23MAR2014,SCH,F,31,Y,Y,3,0,-1.58295296,3,60,2,3,22000,2,1,N,0
54365,03MAR2014,GRD,M,29,Y,N,1,0,-1.90894982,1,70,2,3,50000,1,3,N,0
23436,30JAN2014,SCH,F,38,N,N,0,0,-0.91459778,2,60,1,2,45000,2,1,N,1
33322,09FEB2014,SCH,F,33,N,N,0,1,-0.96287796,1,50,2,3,20000,1,3,N,0
30379,06FEB2014,UGR,F,39,Y,Y,0,0,-1.46115119,8,80,2,3,70000,1,3,Y,0
17847,25JAN2014,SCH,F,36,N,N,0,1,-1.70095685,7,60,1,2,35000,1,3,N,0
46292,22FEB2014,UGR,F,26,N,N,0,0,-1.30779768,1,70,2,3,30000,1,1,N,0
2829,08JAN2014,SCH,M,25,Y,Y,0,0,-1.77617318,0,40,1,2,60000,4,1,N,0
25947,01FEB2014,GRD,M,41,N,N,0,1,-2.16629277,0,60,1,2,12000,1,3,N,0
83636,31MAR2014,UGR,M,32,Y,Y,0,0,-2.33795214,2,40,1,1,40000,4,1,N,1
20426,28JAN2014,SCH,F,40,N,N,0,0,-2.47341086,0,60,1,2,40000,4,1,N,0
78601,26MAR2014,SCH,M,38,N,N,0,0,-2.36205514,0,60,1,3,40000,1,3,N,0
107871,28APR2014,GRD,F,50,N,N,0,0,-2.15138984,0,50,2,3,22000,2,3,N,0
57977,06MAR2014,UGR,M,33,Y,Y,0,0,-2.64824818,2,80,2,3,80000,4,1,Y,0
48580,25FEB2014,SCH,F,32,N,N,1,0,-1.51616882,2,40,1,2,16000,4,3,N,1
19144,26JAN2014,GRD,M,27,N,N,0,0,-2.18508146,1,70,2,3,45000,2,3,Y,1
4501,10JAN2014,SCH,F,58,N,N,0,0,-2.16128118,2,40,1,2,8000,1,3,N,0
84340,01APR2014,GRD,M,25,N,N,0,0,-2.16966378,1,80,2,3,48000,1,4,Y,0
29176,05FEB2014,GRD,F,33,N,N,0,1,-2.07345955,3,80,2,3,48000,1,2,N,0
33549,10FEB2014,SCH,M,58,N,N,0,0,-2.54315298,4,50,2,3,40000,4,2,N,0
29936,05FEB2014,SCH,F,37,N,N,0,0,-1.10412792,1,50,2,3,40000,4,2,N,1
27179,03FEB2014,SCH,M,39,N,N,0,0,-1.72634349,0,40,1,2,35000,1,2,N,1
53780,03MAR2014,GRD,F,52,N,N,0,0,-2.32665148,0,40,1,2,35000,1,3,N,0
31373,07FEB2014,SCH,F,42,N,N,0,0,-1.70642407,1,60,2,3,25000,1,3,N,0
59150,07MAR2014,SCH,M,28,N,N,0,0,-1.87906071,1,50,1,2,25000,2,2,Y,0
100957,18APR2014,SCH,F,50,Y,Y,0,1,-2.43473519,4,40,2,3,37000,1,3,N,0
1124,05JAN2014,SCH,F,63,N,N,0,0,-2.6418348,1,50,2,3,9600,1,3,N,0
66342,15MAR2014,SCH,M,51,N,N,0,1,-1.8801724999999998,2,80,2,2,30000,1,4,Y,0
94195,10APR2014,SCH,M,62,Y,N,2,0,-2.12427311,3,80,2,3,35000,1,3,N,0
20469,28JAN2014,SCH,F,35,N,N,1,0,-1.85857535,3,50,2,2,25000,1,3,N,0
78525,26MAR2014,UGR,M,22,Y,N,6,0,-1.37674364,1,80,2,3,30000,1,3,N,0
27159,03FEB2014,SCH,M,28,N,N,0,0,-1.74813338,0,80,2,3,45000,1,3,Y,0
72505,20MAR2014,SCH,F,54,N,N,0,0,-2.53008899,0,40,1,1,15000,1,3,N,0
66242,15MAR2014,SCH,F,42,Y,N,0,0,-1.94478137,6,20,2,3,25000,1,3,N,0
36923,13FEB2014,SCH,F,55,N,N,1,0,-1.13794732,2,40,2,3,17000,1,3,N,0
19366,27JAN2014,SCH,M,25,Y,Y,0,0,-1.38187167,4,50,1,2,30000,2,3,Y,0
27172,03FEB2014,SCH,F,45,N,N,0,0,-2.42615851,3,40,1,1,20000,3,3,N,0
6752,14JAN2014,GRD,F,65,N,N,0,0,-2.61051476,3,30,3,3,11500,1,3,N,0
57952,06MAR2014,SCH,F,26,N,N,0,0,-2.1032692,0,40,2,3,10000,2,2,N,0
101725,18APR2014,UGR,F,25,N,N,0,0,-1.91705827,3,50,2,3,40000,2,1,N,0
90208,07APR2014,GRD,M,51,Y,Y,0,0,-2.29864943,0,50,2,3,35000,1,3,N,0
12164,20JAN2014,GRD,F,36,N,N,0,0,-1.95637717,0,60,1,2,23400,1,1,N,0
18614,26JAN2014,UGR,M,26,N,N,0,0,-1.51911342,4,80,2,3,55000,1,3,N,0
10686,18JAN2014,GRD,M,31,N,N,0,0,-0.62769189,3,50,1,2,60000,1,4,N,0
9262,16JAN2014,UGR,M,22,N,N,0,1,-1.9138926,0,80,2,3,45000,1,2,N,0
60345,09MAR2014,SCH,M,27,N,N,2,0,-1.88325968,3,80,2,3,40000,1,3,Y,0
66934,15MAR2014,GRD,F,58,Y,N,0,0,-1.96575175,0,40,2,3,8500,4,1,N,1
31799,07FEB2014,GRD,M,29,Y,Y,0,0,-2.14541761,0,40,2,2,85000,2,3,N,0
7790,15JAN2014,SCH,F,55,N,N,0,0,-2.57237392,1,50,1,1,15000,4,1,N,0
52538,01MAR2014,GRD,M,25,N,N,0,0,-2.16460906,3,70,1,3,80000,1,3,N,0
53667,02MAR2014,SCH,M,27,N,N,0,0,-1.30002747,5,40,1,1,30000,2,2,Y,0
8341,15JAN2014,GRD,F,64,N,N,0,0,-2.63378052,1,80,2,3,29000,1,1,N,0
70433,18MAR2014,SCH,F,61,N,N,0,0,-1.82029261,1,40,2,3,10500,2,1,N,1
89842,06APR2014,SCH,F,39,N,N,0,0,-1.39509139,0,50,1,1,15000,3,1,N,0
20796,28JAN2014,SCH,F,49,N,N,0,1,-1.74658336,0,40,3,3,24000,1,4,N,0
6165,13JAN2014,SCH,F,24,N,N,0,0,-1.77578279,0,50,1,3,30000,1,3,N,0
70553,18MAR2014,SCH,M,33,N,N,0,0,-2.07932778,1,60,1,2,30000,1,4,Y,0
12618,20JAN2014,SCH,M,28,Y,Y,0,0,-1.59061401,2,50,1,2,35000,1,4,N,0
2482,08JAN2014,SCH,M,36,Y,Y,0,0,-1.8700572,6,50,1,1,49000,1,4,Y,1
106779,26APR2014,GRD,F,62,N,N,0,0,-2.68837152,0,40,2,3,17000,4,1,N,0
100042,17APR2014,UGR,F,21,N,N,0,0,-1.59388769,1,40,1,2,17000,2,2,N,0
58422,06MAR2014,UGR,F,51,N,N,0,0,-1.56481564,1,60,2,3,15000,1,4,N,0
899,04JAN2014,GRD,M,24,Y,N,1,0,-2.28467257,1,50,1,1,45000,1,2,N,0
49857,26FEB2014,SCH,M,57,Y,Y,0,0,-1.04280858,5,80,2,3,40000,1,4,N,0
101336,18APR2014,SCH,F,57,N,N,0,0,-1.80409613,4,80,2,3,60000,1,4,Y,0
110109,30APR2014,GRD,M,50,Y,N,0,0,-1.89219451,0,40,2,3,15000,1,2,N,0
27375,03FEB2014,SCH,F,32,N,N,0,0,-2.38482362,2,70,2,3,5000,1,1,N,0
89265,05APR2014,GRD,M,31,N,N,0,0,-2.30683629,2,40,2,3,50000,1,4,N,0
31828,07FEB2014,SCH,M,55,Y,N,1,0,-2.06957955,0,50,1,2,13000,1,4,N,0
81368,29MAR2014,SCH,F,49,N,N,0,0,-1.59615525,3,80,2,3,40000,1,4,Y,0
18260,25JAN2014,UGR,M,31,Y,N,0,0,-1.42382988,3,80,2,3,130000,1,3,N,0
30510,06FEB2014,GRD,M,34,Y,Y,0,0,-2.55840765,0,60,1,1,50000,1,4,N,0
101899,19APR2014,SCH,F,31,N,N,2,1,-1.8533768,1,40,2,3,10000,3,1,N,1
54978,04MAR2014,SCH,F,22,N,N,0,0,-1.247893,1,60,1,2,30000,2,1,N,0
53680,02MAR2014,SCH,F,34,N,N,0,1,-1.35729721,2,60,2,3,17000,4,3,N,0
7335,14JAN2014,SCH,F,56,N,N,2,0,-0.9089048000000001,13,50,2,3,27000,4,2,N,0
51072,27FEB2014,GRD,M,31,N,N,0,0,-2.21983894,0,60,1,2,20000,1,3,Y,0
22342,29JAN2014,SCH,M,35,N,N,1,0,-1.08413659,7,50,1,3,25000,4,1,Y,0
109335,30APR2014,GRD,M,36,Y,Y,0,0,-2.42123589,10,60,2,3,75000,2,3,N,1
360,03JAN2014,GRD,M,26,Y,Y,0,0,-1.21170918,4,80,2,3,160000,1,2,N,0
92363,08APR2014,UGR,F,35,N,N,0,1,-2.24329886,3,50,2,3,25000,2,3,N,0
7615,15JAN2014,SCH,M,58,Y,N,0,0,-1.92546767,2,50,1,1,20000,1,2,N,1
20587,28JAN2014,SCH,F,50,N,N,0,0,-1.5835503999999998,4,60,3,3,35000,1,1,N,0
64540,13MAR2014,UGR,M,32,Y,Y,0,0,-1.8849531000000002,2,80,2,3,150000,1,4,Y,0
71770,19MAR2014,SCH,M,37,Y,Y,0,0,-1.2180766,0,70,1,2,70000,1,3,N,0
100068,17APR2014,UGR,F,64,N,N,0,0,-1.99592142,2,50,2,3,6500,1,4,N,0
57314,05MAR2014,PGR,F,39,N,N,0,1,-2.18307981,1,60,1,3,100000,1,4,Y,0
89472,06APR2014,SCH,M,39,N,N,0,0,-2.61849434,1,80,2,3,50000,1,4,N,0
85907,02APR2014,GRD,M,53,Y,N,0,0,-2.22228558,1,40,2,3,15000,1,4,N,0
69901,18MAR2014,SCH,F,40,N,N,0,0,-1.83659996,0,60,1,2,15000,1,4,N,0
68688,17MAR2014,GRD,M,31,N,N,0,0,-1.39457792,2,50,1,3,45000,2,3,N,0
88062,04APR2014,SCH,F,48,N,N,0,0,-2.11124484,0,40,2,3,20000,1,3,N,0
54494,03MAR2014,GRD,F,43,Y,Y,0,0,-1.61030533,4,50,1,2,50000,3,4,N,0
54484,03MAR2014,SCH,M,29,Y,Y,0,1,-2.30762683,2,50,1,1,60000,2,2,N,0
71970,19MAR2014,GRD,F,47,Y,Y,1,1,-2.37348775,0,50,2,3,25000,1,3,N,0
79096,27MAR2014,SCH,F,36,N,N,0,0,-0.8662615,1,60,1,2,17000,1,3,N,0
9249,16JAN2014,SCH,F,49,N,N,0,1,-2.50924923,2,50,2,3,16700,1,3,N,0
73725,21MAR2014,UGR,M,37,N,N,0,0,-1.45291548,3,50,1,2,20000,4,3,N,0
33983,10FEB2014,SCH,M,36,N,N,3,0,-2.02210273,4,40,2,3,45000,4,2,N,1
14535,22JAN2014,SCH,F,33,Y,Y,0,0,-2.82602672,1,60,1,2,50000,4,1,N,0
98217,15APR2014,SCH,M,21,N,N,5,1,-1.76266434,1,70,1,1,22000,1,2,N,0
107773,27APR2014,GRD,M,38,Y,Y,1,0,-1.46482425,1,40,1,2,20000,3,3,N,0
44834,21FEB2014,GRD,M,53,Y,Y,1,0,-0.77525099,22,50,1,1,90000,1,4,N,0
61733,11MAR2014,SCH,F,54,Y,N,0,0,-2.34702016,1,50,2,2,150000,1,3,N,0
98649,15APR2014,SCH,M,51,N,N,0,0,-2.41235605,4,50,1,3,45000,1,3,N,0
71209,19MAR2014,GRD,M,65,Y,Y,0,0,-1.89320175,0,80,2,3,200000,4,1,N,0
49219,26FEB2014,SCH,M,42,Y,Y,0,0,-2.36118226,0,60,1,3,60000,1,3,N,0
68395,17MAR2014,SCH,F,65,N,N,0,0,-2.33217366,0,50,2,3,18000,4,1,N,0
12285,20JAN2014,GRD,F,31,N,N,1,0,-0.8463118000000001,2,40,2,3,30000,1,4,N,1
34939,11FEB2014,UGR,M,31,N,N,0,0,-1.84111212,0,50,1,2,45000,1,3,N,0
103425,21APR2014,GRD,F,54,N,N,0,0,-1.40775016,2,50,1,2,30000,1,4,N,0
40498,17FEB2014,SCH,M,27,N,N,1,0,-2.10433134,4,60,1,3,50000,4,3,N,1
41170,17FEB2014,SCH,F,26,N,N,0,0,-0.70136678,3,50,1,2,25000,4,1,N,1
69387,18MAR2014,SCH,M,49,N,N,0,0,-1.62335278,3,50,1,2,25890,1,3,N,0
54272,03MAR2014,SCH,F,32,N,N,5,0,-1.91635836,0,40,1,2,20000,4,1,N,0
11897,19JAN2014,UGR,F,27,N,N,0,1,-1.42094046,1,50,1,1,15000,3,2,N,1
5301,12JAN2014,SCH,F,35,N,N,1,0,-2.54026794,0,40,1,2,12000,1,3,N,0
26880,03FEB2014,GRD,F,29,Y,Y,0,1,-2.43375857,2,50,1,1,20000,1,3,N,0
41119,17FEB2014,GRD,F,28,Y,N,0,0,-1.31009307,2,80,2,3,40000,1,4,N,0
14633,22JAN2014,GRD,F,27,N,N,0,0,-1.4189602,7,50,2,3,25000,1,4,N,0
13631,21JAN2014,SCH,M,39,N,N,0,0,-1.89183959,1,50,1,1,60000,2,3,N,0
106802,26APR2014,SCH,F,31,N,N,0,0,-2.1733263,1,50,2,3,18000,4,3,N,1
82966,31MAR2014,SCH,M,51,N,N,0,0,-1.32618038,3,60,1,1,55000,1,4,N,0
70188,18MAR2014,GRD,F,31,Y,N,0,0,-2.11628531,0,50,2,3,28000,1,1,N,0
99083,16APR2014,GRD,M,36,Y,Y,0,0,-2.05765641,3,70,1,3,77000,1,1,Y,0
74196,21MAR2014,GRD,M,26,N,N,1,0,-0.27527328,8,60,2,3,40000,3,1,N,0
71262,19MAR2014,SCH,M,38,N,N,0,0,-2.16409446,1,40,1,2,25000,1,3,N,0
93225,09APR2014,SCH,M,38,Y,Y,0,0,-2.0478885,0,60,2,3,40000,2,3,N,0
104042,22APR2014,SCH,M,55,N,N,0,0,-1.49984158,0,50,2,3,22000,1,4,N,0
71065,19MAR2014,SCH,M,58,N,N,0,0,-2.26563117,4,50,1,2,35000,1,3,N,0
67140,16MAR2014,UGR,F,37,N,N,0,0,-1.3541666,1,60,1,2,15000,1,3,N,0
48390,25FEB2014,SCH,F,48,N,N,0,0,-1.66742062,1,60,1,2,18000,3,3,N,0
23722,30JAN2014,SCH,M,34,Y,N,0,0,-2.40580364,0,70,1,2,40000,1,3,N,0
82732,31MAR2014,GRD,M,37,Y,N,0,0,-2.35958495,0,60,2,3,19000,3,2,N,0
12466,20JAN2014,SCH,M,43,N,N,0,0,-2.09345641,1,60,2,3,45000,1,3,N,0
28597,04FEB2014,UGR,M,36,Y,Y,0,0,-1.92950926,1,50,1,3,40000,1,3,N,0
42142,18FEB2014,SCH,F,33,N,N,0,0,-1.77259616,1,60,1,3,19000,1,3,N,0
67602,16MAR2014,SCH,F,55,N,N,0,0,-2.32068691,2,60,2,3,30000,4,1,N,0
38718,14FEB2014,GRD,M,35,N,N,0,0,-2.87034192,1,80,2,3,130000,1,3,Y,0
41977,18FEB2014,SCH,F,47,N,N,0,0,-1.28173858,13,50,1,2,16000,1,3,N,0
100097,17APR2014,SCH,F,52,N,N,0,0,-2.4980655,2,40,2,3,35000,1,4,N,0
6516,13JAN2014,GRD,F,27,N,N,0,0,-2.03060486,2,50,1,1,60000,1,3,N,0
64985,14MAR2014,GRD,M,32,N,N,0,1,-1.88637676,0,50,1,2,25000,2,3,Y,0
25572,01FEB2014,SCH,F,42,Y,N,0,0,-2.59419902,4,60,2,3,26000,4,1,N,0
88084,04APR2014,SCH,F,34,Y,N,0,0,-1.3592893,6,40,1,2,20000,1,3,N,1
33883,10FEB2014,GRD,F,34,Y,Y,0,1,-2.37842623,1,70,1,3,90000,1,4,Y,0
39390,15FEB2014,SCH,F,22,N,N,0,0,-1.50834465,0,80,2,3,30000,2,1,N,0
96514,13APR2014,UGR,F,32,N,N,1,0,-0.70408005,0,80,2,3,47000,1,3,N,0
51836,28FEB2014,SCH,M,40,Y,Y,0,0,-2.02159786,3,70,1,2,80000,1,2,N,0
85625,02APR2014,UGR,F,31,Y,N,1,0,-2.1042109,1,60,1,3,25000,2,2,N,0
10216,17JAN2014,SCH,F,52,N,N,0,0,-1.92590253,0,50,1,2,18000,1,3,N,0
88835,05APR2014,SCH,F,55,N,N,0,0,-1.91741687,1,50,1,3,40000,3,1,N,0
8784,16JAN2014,GRD,M,31,N,N,0,0,-1.58043262,7,40,1,2,60000,1,4,N,0
